cell_name,X,Y
0,722.267,812.922
1,769.049,855.158
2,693.557,829.369
3,677.297,707.0160000000001
4,847.908,862.902
5,663.965,876.956
6,886.357,769.986
7,743.828,863.822
8,774.186,992.015
9,798.726,636.0350000000001
10,707.427,799.9449999999999
11,901.223,744.81
12,831.269,848.719
13,698.197,715.7
14,630.615,834.654
15,909.902,860.463
16,775.157,776.563
17,802.41,915.4300000000001
18,706.725,785.142
19,711.105,794.8820000000001
20,807.092,820.726
21,825.065,808.6800000000001
22,736.788,1031.267
23,498.034,969.181
24,860.151,757.611
25,723.711,777.389
26,736.678,881.299
27,747.718,784.123
28,711.619,814.7180000000001
29,748.1800000000001,834.664
30,698.295,837.423
31,701.508,932.155
32,895.288,815.091
33,691.5419999999999,904.289
34,776.8389999999999,884.941
35,753.329,765.2760000000001
36,734.69,934.2080000000001
37,742.232,889.29
38,795.047,797.2429999999999
39,727.179,786.635
40,796.243,888.162
41,731.47,843.601
42,775.2080000000001,836.634
43,710.78,867.119
44,879.505,826.807
45,700.796,795.924
46,804.2429999999999,977.202
47,550.2339999999999,872.877
48,601.1569999999999,908.8430000000001
49,893.209,700.744
50,827.8720000000001,962.735
51,682.558,918.914
52,455.725,941.905
53,764.555,787.25
54,716.0930000000001,871.1179999999999
55,765.332,816.1320000000001
56,690.7719999999999,859.032
57,716.0989999999999,871.196
58,796.1279999999999,1046.7240000000002
59,692.571,838.587
60,703.3050000000001,850.895
61,579.172,874.498
62,756.473,971.356
63,738.143,792.863
64,558.0260000000001,710.231
65,738.261,789.034
66,720.213,1024.374
67,742.77,831.825
68,799.7470000000001,790.7429999999999
69,754.194,838.021
70,743.299,883.809
71,633.131,696.483
72,636.3879999999999,881.14
73,772.05,894.779
74,773.02,874.0350000000001
75,666.813,832.46
76,765.9159999999999,874.654
77,839.374,744.5360000000001
78,798.656,832.797
79,743.673,849.11
80,735.5260000000001,781.694
81,804.887,891.0129999999999
82,701.886,796.385
83,759.759,816.082
84,924.87,809.1990000000001
85,689.568,898.959
86,871.893,948.009
87,684.679,742.2
88,726.438,782.9010000000001
89,730.081,761.8779999999999
90,927.825,929.961
91,708.439,856.139
92,741.474,823.9300000000001
93,746.492,912.716
94,879.196,837.11
95,800.165,792.231
96,535.548,857.024
97,809.487,637.483
98,693.473,792.735
99,749.438,898.549
100,716.29,938.0699999999999
101,691.398,881.655
102,867.372,851.4680000000001
103,783.336,829.381
104,686.9300000000001,871.5409999999999
105,722.813,816.904
106,698.678,816.662
107,733.198,830.1089999999999
108,732.201,850.019
109,716.352,807.135
110,623.075,730.6569999999999
111,547.913,841.486
112,772.642,773.906
113,733.219,862.64
114,720.5450000000001,893.403
115,697.956,818.528
116,810.315,803.9549999999999
117,653.4100000000001,915.766
118,710.669,806.943
119,649.6659999999999,956.255
120,764.5830000000001,773.865
121,886.503,903.017
122,758.249,842.456
123,788.0830000000001,830.309
124,706.3720000000001,918.048
125,805.775,836.2719999999999
126,804.1659999999999,771.3489999999999
127,781.935,868.156
128,764.6800000000001,774.5830000000001
129,732.299,831.188
130,943.327,911.706
131,769.614,854.146
132,822.429,970.927
133,749.9100000000001,852.841
134,743.566,850.233
135,812.125,865.1659999999999
136,737.462,909.252
137,725.148,866.509
138,697.1700000000001,916.86
139,748.1379999999999,803.956
